week_number,start_date,end_date,round_number
1,2025-03-27,2025-04-06,1
2,2025-04-07,2025-04-13,1
3,2025-04-14,2025-04-20,1
4,2025-04-21,2025-04-27,1
5,2025-04-28,2025-05-04,1
6,2025-05-05,2025-05-11,1
7,2025-05-12,2025-05-18,1
8,2025-05-19,2025-05-25,1
9,2025-05-26,2025-06-01,1
10,2025-06-02,2025-06-08,1
11,2025-06-09,2025-06-15,1
12,2025-06-16,2025-06-22,1
13,2025-06-23,2025-06-29,1
14,2025-06-30,2025-07-06,1
15,2025-07-07,2025-07-13,1
16,2025-07-14,2025-07-27,1
17,2025-07-28,2025-08-03,1
18,2025-08-04,2025-08-10,2
19,2025-08-11,2025-08-17,2
20,2025-08-18,2025-08-24,3
21,2025-08-25,2025-08-31,3
22,2025-09-01,2025-09-07,4
23,2025-09-08,2025-09-14,4
24,2025-09-15,2025-09-21,0
25,2025-09-22,2025-09-28,0
